,Pairs,source,target,Reaction,RPAIR_main
2515,C00011_C00026,C00026,C00011,R00621,0
2516,C00068_C05381,C00068,C05381,R00621,1
2517,C00011_C00068,C00068,C00011,R00621,2
2518,C00071_C00226,C00226,C00071,R00623,1
2519,C00004_C00226,C00226,C00004,R00623,2
2520,C00080_C00226,C00226,C00080,R00623,2
2521,C00003_C00071,C00003,C00071,R00623,2
2522,C00003_C00004,C00003,C00004,R00623,1
2523,C00003_C00080,C00003,C00080,R00623,2
2524,C01450_C01612,C01612,C01450,R00624,1
2525,C00004_C01612,C01612,C00004,R00624,2
2526,C00080_C01612,C01612,C00080,R00624,2
2527,C00003_C01450,C00003,C01450,R00624,2
2528,C00003_C00004,C00003,C00004,R00624,1
2529,C00003_C00080,C00003,C00080,R00624,2
2530,C00071_C00226,C00226,C00071,R00625,1
2531,C00005_C00226,C00226,C00005,R00625,2
2532,C00080_C00226,C00226,C00080,R00625,2
2533,C00006_C00071,C00006,C00071,R00625,2
2534,C00005_C00006,C00006,C00005,R00625,1
2535,C00006_C00080,C00006,C00080,R00625,2
2536,C00069_C01153,C01153,C00069,R00626,2
2537,C00009_C01153,C01153,C00009,R00626,2
2538,C00001_C00069,C00001,C00069,R00626,2
2539,C00001_C00009,C00001,C00009,R00626,0
2540,C00010_C00024,C00024,C00010,R00627,1
2541,C00024_C01883,C00024,C01883,R00627,0
2542,C00010_C00069,C00069,C00010,R00627,2
2543,C00069_C01883,C00069,C01883,R00627,1
2544,C00069_C01883,C01883,C00069,R00628,1
2545,C00033_C01883,C01883,C00033,R00628,1
2546,C00001_C00069,C00001,C00069,R00628,2
2547,C00001_C00033,C00001,C00033,R00628,0
2548,C00069_C02000,C00069,C02000,R00629,1
2549,C00054_C00069,C00069,C00054,R00629,2
2550,C00053_C02000,C00053,C02000,R00629,0
2551,C00053_C00054,C00053,C00054,R00629,1
2552,C00069_C02391,C02391,C00069,R00630,1
2553,C00060_C02391,C02391,C00060,R00630,1
2554,C00080_C02391,C02391,C00080,R00630,2
2555,C00001_C00069,C00001,C00069,R00630,2
2556,C00001_C00060,C00001,C00060,R00630,0
2557,C00001_C00080,C00001,C00080,R00630,2
2558,C00071_C00162,C00071,C00162,R00631,2
2559,C00004_C00071,C00071,C00004,R00631,2
2560,C00071_C00080,C00071,C00080,R00631,2
2561,C00003_C00162,C00003,C00162,R00631,2
2562,C00003_C00004,C00003,C00004,R00631,1
2563,C00003_C00080,C00003,C00080,R00631,2
2564,C00001_C00162,C00001,C00162,R00631,2
2565,C00001_C00004,C00001,C00004,R00631,2
2566,C00001_C00080,C00001,C00080,R00631,2
2567,C00060_C00071,C00071,C00060,R00634,1
2568,C00005_C00071,C00071,C00005,R00634,2
2569,C00071_C00080,C00071,C00080,R00634,2
2570,C00006_C00060,C00006,C00060,R00634,2
2571,C00005_C00006,C00006,C00005,R00634,1
2572,C00006_C00080,C00006,C00080,R00634,2
2573,C00001_C00060,C00001,C00060,R00634,0
2574,C00001_C00005,C00001,C00005,R00634,2
2575,C00001_C00080,C00001,C00080,R00634,2
2576,C00060_C00071,C00071,C00060,R00635,1
2577,C00027_C00071,C00071,C00027,R00635,2
2578,C00071_C00080,C00071,C00080,R00635,2
2579,C00007_C00060,C00007,C00060,R00635,2
2580,C00007_C00027,C00007,C00027,R00635,1
2581,C00007_C00080,C00007,C00080,R00635,2
2582,C00001_C00060,C00001,C00060,R00635,0
2583,C00001_C00027,C00001,C00027,R00635,0
2584,C00001_C00080,C00001,C00080,R00635,2
2585,C00071_C00161,C00161,C00071,R00636,1
2586,C00011_C00161,C00161,C00011,R00636,0
2587,C00071_C00226,C00226,C00071,R00637,1
2588,C00027_C00226,C00226,C00027,R00637,2
2589,C00007_C00071,C00007,C00071,R00637,2
2590,C00007_C00027,C00007,C00027,R00637,1
2591,C00071_C00162,C00071,C00162,R00638,2
2592,C00030_C00071,C00071,C00030,R00638,2
2593,C00028_C00162,C00028,C00162,R00638,2
2594,C00028_C00030,C00028,C00030,R00638,2
2595,C00001_C00162,C00001,C00162,R00638,2
2596,C00001_C00030,C00001,C00030,R00638,2
2597,C00071_C00226,C00226,C00071,R00639,1
2598,C00030_C00226,C00226,C00030,R00639,2
2599,C00028_C00071,C00028,C00071,R00639,2
2600,C00028_C00030,C00028,C00030,R00639,2
2601,C00072_C01115,C01115,C00072,R00640,2
2602,C00126_C01115,C01115,C00126,R00640,2
2603,C00080_C01115,C01115,C00080,R00640,2
2604,C00072_C00125,C00125,C00072,R00640,2
