Entry,Name,Formula,Exact mass,Mol weight,Structure Url,Canonical SMILES,AddHs SMILES,Reaction Number,Pathway Number,Module Number,Enzyme Class Number,PubChem Id,ChEBI Id,Reference,Family
C01344,dIDP,,,,,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1,,2,,,,4549,"[""28823""]","""""",Quadruple
C06196,dIMP,,,,,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,,2,,,,8446,"[""28806""]","""""",Quadruple
C05512,Deoxyinosine,,,,,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,,2,,,,7859,"[""28997""]","""""",Quadruple
C00700,XTP,,,,,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,,3,,,,3968,"[""10049""]","""""",Quadruple
C01337,XDP,,,,,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,,1,,,,4545,[],"""""",Quadruple
C00655,XMP,,,,,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,,7,,,,3925,"[""15652""]","""""",Quadruple
C01762,Xanthosine,,,,,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,,5,,,,4895,"[""18107""]","""""",Quadruple
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
C00001,H2O,,,,,O,,4068,,,,3303,"[""15377""]","""""",Single
C00080,H+,,,,,[H+],,2443,,,,3380,"[""15378"", ""24636""]","""""",Single
C00007,Oxygen,,,,,O=O,,1887,,,,3309,"[""15379"", ""25805""]","""""",Single
C00011,CO2,,,,,O=C=O,,745,,,,3313,"[""16526""]","""""",Single
C00013,Diphosphate,,,,,O=P(O)(O)OP(=O)(O)O,,702,,,,3315,"[""18361"", ""29888""]","""""",Single
C00009,Orthophosphate,,,,,O=P(O)(O)O,,589,,,,3311,"[""18367"", ""26078""]","""""",Single
C00014,Ammonia,,,,,N,,391,,,,3316,"[""16134""]","""""",Single
C00027,Hydrogen peroxide,,,,,OO,,275,,,,3329,"[""16240""]","""""",Single
C01327,Hydrochloric acid,,,,,Cl,,65,,,,4538,"[""17883""]","""""",Single
C00059,Sulfate,,,,,O=S(=O)(O)O,,44,,,,3359,"[""16189"", ""26836""]","""""",Single
C00094,Sulfite,,,,,O=S(O)O,,44,,,,3394,"[""48854""]","""""",Single
C00283,Hydrogen sulfide,,,,,S,,47,,,,3578,"[""16136""]","""""",Single
C00698,Cl-,,,,,[Cl-],,47,,,,3966,"[""17996""]","""""",Single
C00088,Nitrite,,,,,O=NO,,40,,,,3388,"[""16301"", ""25567""]","""""",Single
C00288,HCO3-,,,,,O=C([O-])O,,24,,,,3583,"[""17544""]","""""",Single
C00533,Nitric oxide,,,,,[N]=O,,22,,,,3815,"[""16480""]","""""",Single
C00237,CO,,,,,[C-]#[O+],,19,,,,3536,"[""17245""]","""""",Single
C00244,Nitrate,,,,,O=[N+]([O-])O,,13,,,,3543,"[""48107""]","""""",Single
C01324,Bromide,,,,,[Br-],,12,,,,4536,"[""15858""]","""""",Single
C00697,Nitrogen,,,,,N#N,,10,,,,3965,"[""17997""]","""""",Single
C00087,Sulfur,,,,,[S],,9,,,,3387,"[""17909"", ""26833""]","""""",Single
C00708,Iodide,,,,,[I-],,8,,,,3975,"[""16382""]","""""",Single
C05684,Selenite,,,,,O=[Se]([O-])[O-],,8,,,,7991,"[""18212""]","""""",Single
C13645,Hydrobromic acid,,,,,Br,,8,,,,586255,"[""47266""]","""""",Single
C00887,Nitrous oxide,,,,,[N-]=[N+]=O,,7,,,,4143,"[""17045""]","""""",Single
C01528,Hydrogen selenide,,,,,[SeH2],,7,,,,4690,"[""16503""]","""""",Single
C16487,Hydrofluoric acid,,,,,F,,6,,,,47205783,"[""29228""]","""""",Single
C01382,Iodine,,,,,II,,5,,,,4577,"[""17606""]","""""",Single
C05590,Hydroiodic acid,,,,,I,,4,,,,7915,"[""43451""]","""""",Single
C00704,Superoxide,,,,,[O][O-],,4,,,,3971,"[""18421""]","""""",Single
C05697,Selenate,,,,,O=[Se](=O)(O)O,,3,,,,8004,"[""18170""]","""""",Single
C01529,Selenium,,,,,[Se],,2,,,,4691,"[""27568""]","""""",Single
C00742,Fluoride,,,,,[F-],,1,,,,4005,"[""17051""]","""""",Single
C00282,Hydrogen,,,,,[H][H],,16,,,,3577,"[""18276""]","""""",Single
C01328,HO-,,,,,[OH-],,2,,,,4539,"[""16234""]","""""",Single
C01353,Carbonic acid,,,,,O=C(O)O,,2,,,,4557,"[""28976""]","""""",Single
C00536,Triphosphate,,,,,O=P(O)(O)OP(=O)(O)OP(=O)(O)O,,10,,,,3818,"[""18036"", ""39949""]","""""",Single
C01342,NH4+,,,,,[NH4+],,0,,,,4547,"[""28938""]","""""",Single
C11481,HSO3-,,,,,O=S([O-])O,,5,,,,13651,"[""17137""]","""""",Single
C00320,Thiosulfate,,,,,O=S(=O)(O)[S-],,18,,,,3614,"[""33539"", ""33541""]","""""",Single
C00462,Halide,,,,,[1*][H],,7,,,,3746,"[""16042""]","""""",Single
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
C00002,ATP,,,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,,693,,,,3304,"[""15422""]","""""",Single
C00008,ADP,,,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,,463,,,,3310,"[""16761""]","""""",Single
C00020,AMP,,,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,,280,,,,3322,"[""16027""]","""""",Single
C00044,GTP,,,,,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,47,,,,3346,"[""15996""]","""""",Single
C00035,GDP,,,,,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,70,,,,3337,"[""17552""]","""""",Single
C00144,GMP,,,,,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,21,,,,3444,"[""165823"", ""17345""]","""""",Single
C00063,CTP,,,,,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,,49,,,,3363,"[""17677""]","""""",Single
C00112,CDP,,,,,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,,16,,,,3412,"[""17239""]","""""",Single
C00055,CMP,,,,,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,,82,,,,3357,"[""17361""]","""""",Single
